table_name,table_description,column,description
user_dim,List of all enterprise users,deleted_at,When the user was deleted
user_dim,List of all enterprise users,last_visit_at,When the user visited (browsed) the plarform for the last time
user_dim,List of all enterprise users,last_time_spent_at,"When the user spent time on the platform (campus, challenges, projects, mobile) for the last time"
user_dim,List of all enterprise users,onboarding_completed_at,When the user completed their onboarding
user_dim,List of all enterprise users,first_content_completed_at,When the user completed their first content
user_dim,List of all enterprise users,id,"[DEPRECATED] Use user_id instead
"
user_team_bridge,Bridge table to link users to their teams,user_id,The user id (internal main-app id) [PK]
user_team_bridge,Bridge table to link users to their teams,team_id,The team id (internal enterprise-app id) [PK]
user_team_bridge,Bridge table to link users to their teams,joined_team_date,Date at which the user joined the team
user_team_bridge,Bridge table to link users to their teams,left_team_date,Date at which the user left the team
